order_date,year,month,day
2018-07-02,2018,7,2
2018-12-13,2018,12,13
2018-01-12,2018,1,12
2018-11-29,2018,11,29
2018-04-16,2018,4,16
2018-11-15,2018,11,15
2018-04-30,2018,4,30
2018-06-12,2018,6,12
2018-03-21,2018,3,21
2018-07-08,2018,7,8
2018-07-27,2018,7,27
2018-12-08,2018,12,8
2018-09-24,2018,9,24
2018-09-14,2018,9,14
2018-02-17,2018,2,17
2018-10-06,2018,10,6
2018-12-04,2018,12,4
2018-04-04,2018,4,4
2018-07-22,2018,7,22
2018-07-16,2018,7,16
2018-10-27,2018,10,27
2018-03-04,2018,3,4
2018-12-23,2018,12,23
2018-08-07,2018,8,7
2018-11-11,2018,11,11
2018-03-07,2018,3,7
2018-09-10,2018,9,10
2018-06-15,2018,6,15
2018-10-28,2018,10,28
2018-05-20,2018,5,20
2018-02-24,2018,2,24
2018-10-16,2018,10,16
2018-10-10,2018,10,10
2018-01-03,2018,1,3
2018-03-03,2018,3,3
2018-09-25,2018,9,25
2018-04-08,2018,4,8
2018-10-12,2018,10,12
2018-05-25,2018,5,25
2018-12-26,2018,12,26
2018-05-18,2018,5,18
2018-06-18,2018,6,18
2018-09-11,2018,9,11
2018-08-18,2018,8,18
2018-11-13,2018,11,13
2018-04-09,2018,4,9
2018-08-21,2018,8,21
2018-09-16,2018,9,16
2018-03-26,2018,3,26
2018-10-01,2018,10,1
2018-11-07,2018,11,7
2018-03-30,2018,3,30
2018-01-02,2018,1,2
2018-05-19,2018,5,19
2018-03-27,2018,3,27
2018-06-03,2018,6,3
2018-03-14,2018,3,14
2018-04-15,2018,4,15
2018-10-17,2018,10,17
2018-04-10,2018,4,10
2018-02-06,2018,2,6
2018-01-08,2018,1,8
2018-05-11,2018,5,11
2018-12-30,2018,12,30
2018-05-14,2018,5,14
2018-07-09,2018,7,9
2018-07-31,2018,7,31
2018-01-28,2018,1,28
2018-06-25,2018,6,25
2018-02-11,2018,2,11
2018-03-12,2018,3,12
2018-11-02,2018,11,2
2018-05-30,2018,5,30
2018-12-19,2018,12,19
2018-04-24,2018,4,24
2018-06-27,2018,6,27
2018-10-31,2018,10,31
2018-02-26,2018,2,26
2018-06-08,2018,6,8
2018-08-05,2018,8,5
2018-11-28,2018,11,28
2018-01-27,2018,1,27
2018-12-24,2018,12,24
2018-05-09,2018,5,9
2018-04-01,2018,4,1
2018-06-17,2018,6,17
2018-02-16,2018,2,16
2018-07-20,2018,7,20
2018-02-09,2018,2,9
2018-12-29,2018,12,29
2018-08-17,2018,8,17
2018-04-17,2018,4,17
2018-11-09,2018,11,9
2018-12-15,2018,12,15
2018-04-25,2018,4,25
2018-03-23,2018,3,23
2018-04-28,2018,4,28
2018-07-14,2018,7,14
2018-07-25,2018,7,25
2018-09-15,2018,9,15
2018-03-18,2018,3,18
2018-11-12,2018,11,12
2018-02-19,2018,2,19
2018-04-12,2018,4,12
2018-03-20,2018,3,20
2018-08-16,2018,8,16
2018-09-03,2018,9,3
2018-09-30,2018,9,30
2018-08-24,2018,8,24
2018-05-02,2018,5,2
2018-09-21,2018,9,21
2018-10-30,2018,10,30
2018-02-10,2018,2,10
2018-08-01,2018,8,1
2018-02-21,2018,2,21
2018-03-06,2018,3,6
2018-02-25,2018,2,25
2018-01-16,2018,1,16
2018-08-28,2018,8,28
2018-10-14,2018,10,14
2018-02-03,2018,2,3
2018-09-08,2018,9,8
2018-03-29,2018,3,29
2018-07-17,2018,7,17
2018-04-29,2018,4,29
2018-06-05,2018,6,5
2018-01-21,2018,1,21
2018-04-14,2018,4,14
2018-04-03,2018,4,3
2018-01-14,2018,1,14
2018-01-22,2018,1,22
2018-07-10,2018,7,10
2018-07-11,2018,7,11
2018-06-02,2018,6,2
2018-02-02,2018,2,2
2018-08-26,2018,8,26
2018-05-04,2018,5,4
2018-04-21,2018,4,21
2018-06-19,2018,6,19
2018-08-23,2018,8,23
2018-03-16,2018,3,16
2018-09-26,2018,9,26
2018-03-17,2018,3,17
2018-05-22,2018,5,22
2018-07-28,2018,7,28
2018-04-11,2018,4,11
2018-03-10,2018,3,10
2018-08-22,2018,8,22
2018-01-29,2018,1,29
2018-10-05,2018,10,5
2018-05-03,2018,5,3
2018-10-09,2018,10,9
2018-08-04,2018,8,4
2018-05-06,2018,5,6
2018-05-27,2018,5,27
2018-12-07,2018,12,7
2018-12-27,2018,12,27
2018-01-26,2018,1,26
2018-04-13,2018,4,13
2018-04-27,2018,4,27
2018-04-22,2018,4,22
2018-08-06,2018,8,6
2018-08-15,2018,8,15
2018-01-23,2018,1,23
2018-09-13,2018,9,13
2018-08-03,2018,8,3
2018-07-30,2018,7,30
2018-10-24,2018,10,24
2018-08-10,2018,8,10
2018-11-08,2018,11,8
2018-04-26,2018,4,26
2018-11-22,2018,11,22
2018-01-20,2018,1,20
2018-03-11,2018,3,11
2018-03-05,2018,3,5
2018-01-06,2018,1,6
2018-01-15,2018,1,15
2018-01-19,2018,1,19
2018-01-09,2018,1,9
2018-01-07,2018,1,7
2018-10-29,2018,10,29
2018-10-04,2018,10,4
2018-05-23,2018,5,23
2018-07-15,2018,7,15
2018-02-18,2018,2,18
2018-04-07,2018,4,7
2018-05-16,2018,5,16
2018-05-21,2018,5,21
2018-02-04,2018,2,4
2015-03-10,2015,3,10
2015-08-02,2015,8,2
2015-10-16,2015,10,16
2015-02-12,2015,2,12
2015-01-27,2015,1,27
2015-04-15,2015,4,15
2015-11-08,2015,11,8
2015-10-01,2015,10,1
2015-02-24,2015,2,24
2015-07-07,2015,7,7
2015-07-13,2015,7,13
2016-05-17,2016,5,17
2016-08-16,2016,8,16
2016-07-27,2016,7,27
2016-02-28,2016,2,28
2016-04-19,2016,4,19
2016-01-10,2016,1,10
2016-07-19,2016,7,19
2016-11-25,2016,11,25
2016-05-24,2016,5,24
2017-01-08,2017,1,8
2017-08-05,2017,8,5
2017-02-09,2017,2,9
2017-10-06,2017,10,6
2017-06-02,2017,6,2
2017-09-28,2017,9,28
2017-03-07,2017,3,7
2017-03-01,2017,3,1
2017-04-06,2017,4,6
2017-04-25,2017,4,25
2017-08-17,2017,8,17
2017-10-18,2017,10,18
2017-02-15,2017,2,15
2017-01-21,2017,1,21
2018-07-06,2018,7,6
2018-06-06,2018,6,6
2018-07-24,2018,7,24
2018-07-18,2018,7,18
2018-03-28,2018,3,28
2018-07-01,2018,7,1
2018-12-06,2018,12,6
2018-07-26,2018,7,26
2018-01-13,2018,1,13
